CHEMBA DISTRICT COUNCIL ,,,,,,,,
TARAFA,NO,KATA,NO,KIJIJI,NO,VITONGOJI,NO ,Health facility 
,,,110,Itolwa,466,Machakosi,,Itolwa
,,,,,467,Itolwa,,
,,,,,468,Mwadui,,
,,,,,469,Kibaku,,
,,,,,470,Ruvai,,
,,,,,471,Matembo,,
,,,111,Chemka,472,Chemka,,
,,,,,473,Ngwambi,,
,,,,,474,Wisi,,
,,,,,475,Chang'ombe,,
,,,,,476,Kwamgohi,,
,,,,,477,Lusindi,,
,26,Churuku,112,Churuku,478,Madukani,,Churuku
,,,,,479,Kwa msami,,
,,,,,480,Chang'ombe A,,
,,,,,481,Chang'ombe B,,
,,,,,482,Uganda,,
,,,,,483,Majengo,,
,,,113,Jinjo,484,Jinjo kati,,
,,,,,485,Majengo mapya,,
,,,,,486,Chang'ombe,,
,,,,,487,Mwinyamwiri,,
,,,114,Kinkima,488,Lusangi,,
,,,,,489,Uganda,,
,,,,,490,Bagamoyo,,
,,,,,491,Mashineni,,
,,,,,492,Mbugani,,
,,,,,493,Isusumya,,
,,,,,494,Cheka nao,,
,,,114,,494,,,37
